Municipality,Province,Last Update,Lat,Long,Confirmed,Recovered,Deaths,Active,ZIP Code
Agdangan,Quezon,04/10/2020,13.88246284,121.9228277,0,0,0,0,4304
Alabat,Quezon,04/10/2020,14.12154362,122.025083,0,0,0,0,4333
Atimonan,Quezon,04/10/2020,13.98301572,121.8864132,0,0,0,0,4331
Buenavista,Quezon,04/10/2020,13.73358446,122.4359135,0,0,0,0,4320
Burdeos,Quezon,04/10/2020,14.80919754,121.9899413,0,0,0,0,4340
Calauag,Quezon,04/10/2020,14.05025119,122.2821254,1,0,1,0,4318
Candelaria,Quezon,04/10/2020,13.94084746,121.4302338,2,0,1,0,4323
Catanauan,Quezon,04/10/2020,13.64192577,122.3186588,0,0,0,0,4311
Dolores,Quezon,04/10/2020,14.01205467,121.4024754,0,0,0,0,4326
General Luna,Quezon,04/10/2020,13.70447793,122.2219625,0,0,0,0,4310
General Nakar,Quezon,04/10/2020,14.89030825,121.4661688,0,0,0,0,4338
Guinayangan,Quezon,04/10/2020,13.85848594,122.434283,0,0,0,0,4319
Gumaca,Quezon,04/10/2020,13.87586685,122.1211489,0,0,0,0,4307
Infanta,Quezon,04/10/2020,14.72700883,121.6554566,1,0,1,0,4336
Jomalig,Quezon,04/10/2020,14.70043277,122.3763346,0,0,0,0,4342
Lopez,Quezon,04/10/2020,13.83286832,122.2990528,0,0,0,0,4316
Lucban,Quezon,04/10/2020,14.11302037,121.5678286,0,0,0,0,4328
Lucena City,Quezon,04/10/2020,13.93834715,121.6153582,7,1,0,0,4301
Macalelon,Quezon,04/10/2020,13.76475649,122.1794166,0,0,0,0,4309
Mauban,Quezon,04/10/2020,14.23091517,121.6982109,0,0,0,0,4330
Mulanay,Quezon,04/10/2020,13.52551459,122.4579086,0,0,0,0,4312
Padre Burgos,Quezon,04/10/2020,13.92318927,121.8514011,0,0,0,0,4303
Pagbilao,Quezon,04/10/2020,14.00815185,121.7277982,0,0,0,0,4302
Panukulan,Quezon,04/10/2020,14.9724437,121.886988,0,0,0,0,4337
Patnanungan,Quezon,04/10/2020,14.77272611,122.219521,0,0,0,0,4341
Perez,Quezon,04/10/2020,14.17901176,121.957606,0,0,0,0,4334
Pitogo,Quezon,04/10/2020,13.8058997,122.0935352,0,0,0,0,4308
Plaridel,Quezon,04/10/2020,13.94715374,122.0052459,0,0,0,0,4306
Polillo,Quezon,04/10/2020,14.72127915,121.9930981,0,0,0,0,4339
Quezon,Quezon,04/10/2020,14.0568718,122.1211418,0,0,0,0,4332
Real,Quezon,04/10/2020,14.55369048,121.5622501,0,0,0,0,4335
Sampaloc,Quezon,04/10/2020,14.18406327,121.6266318,1,0,0,0,4329
San Andres,Quezon,04/10/2020,13.3414667,122.6421565,0,0,0,0,4314
San Antonio,Quezon,04/10/2020,13.89985272,121.2980254,0,0,0,0,4324
San Francisco,Quezon,04/10/2020,13.29446999,122.5720652,0,0,0,0,4315
San Narciso,Quezon,04/10/2020,13.54952157,122.5375106,0,0,0,0,4313
Sariaya,Quezon,04/10/2020,13.92728543,121.5041106,2,1,0,0,4322
Tagkawayan,Quezon,04/10/2020,14.02597142,122.538641,0,0,0,0,4321
Tayabas City,Quezon,04/10/2020,14.04055712,121.6122349,3,1,0,0,4327
Tiaong,Quezon,04/10/2020,13.95599241,121.3277981,1,0,0,0,4325
Unisan,Quezon,04/10/2020,13.86069416,121.9980949,3,0,1,0,4305
